,Search_for,University_name,State_location
317,SPPU,Savitribai Phule Pune University,"University in Pune, Maharashtra"
318,Savitribai Phule Pune Unversity,Savitribai Phule Pune University,"University in Pune, Maharashtra"
319,Visvesvaraya Technology University,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
320,APJ Abdul Kalam Technological University,APJ Abdul Kalam Technological University,"University in Thiruvananthapuram, Kerala"
321,rajiv gandhi prodyogiki vishwavidyalay bhopal,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
322,Rgpv,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
323,Dr. APJ Abdul Kalam Technical University,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow","University in Lucknow, Uttar Pradesh"
324,Dr. Babasaheb Ambedkar Marathwada University Aurangabad,Dr. Babasaheb Ambedkar Marathwada University,"University in Aurangabad, Maharashtra"
325,Maharaja Sayajirao University of Baroda,Maharaja Sayajirao University,Notable alumni: 
326,Acharya Nagarjuna University,Acharya Nagarjuna University,"University in Guntur, Andhra Pradesh"
327,Rabindranath Tagore University,Rabindranath Tagore University,"Private university in Raisen, Madhya Pradesh"
328,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
329,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
330,Rabindranath Tagore University,Rabindranath Tagore University,"Private university in Raisen, Madhya Pradesh"
