,Search_for,University_name,State_location
221,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
222,JAWAHARLAL NEHRU TECHNICAL UNIVERSITY HYDERABAD,Jawaharlal Nehru Technical University,"near Hyderabad, Telangana"
223,North Maharashtra University,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,"University in Jalgaon, Maharashtra"
224,SRTMUN,"Swami Ramanand Teerth Marathwada University, Nanded","University in Nanded, Maharashtra"
225,Visvesvaraya Technological University.,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
226,Jntuk,"Jawaharlal Nehru Technological University, Kakinada","University in Kakinada, Andhra Pradesh"
227,APJ Abdul Kalam Technological University,APJ Abdul Kalam Technological University,"University in Thiruvananthapuram, Kerala"
228,APJ Abdul Kalam Technological University,APJ Abdul Kalam Technological University,"University in Thiruvananthapuram, Kerala"
229,MUMBAI UNIVERSITY,University of Mumbai,"Public university in Mumbai, Maharashtra"
230,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
231,VIT University,Vellore Institute of Technology,"Private university in Vellore, Tamil Nadu"
232,Indian Institute of Technology,Indian Institutes of Technology,NDTV.com1 day ago
233,Savitribai phule pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
234,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
235,SRTM UNIVERSITY NANDED,"Swami Ramanand Teerth Marathwada University, Nanded","University in Nanded, Maharashtra"
236,Cochin University of Science and Technology,Cochin University of Science and Technology,"University in Kochi, Kerala"
237,"Maulana Abul Kalam Azad University of Technology, West Bengal","Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
238,APJ Abdul Kalam Technical University,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow","University in Lucknow, Uttar Pradesh"
239,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
240,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
241,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
242,Mumbai,Mumbai,City in Maharashtra
243,Shivaji University Kolhapur,"Shivaji University, Kolhapur","University in Kolhapur, Maharashtra"
244,BATU university,Dr. Babasaheb Ambedkar Technological University,"University in Lonere, Maharashtra"
245,Visvesvaraya Technological University,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
